Country,Vendor,Category,PO Number,Item Description,Original Spend,OPEX/CAPEX,Saving,Saving %,Spend
Morocco,TELEPERFORMANCE SE,IT Software,PO-001,Software Licenses,100000,OPEX,15000,0.15,85000
Morocco,TP GROUP INC,IT Software,PO-002,Support Services,80000,OPEX,12000,0.15,68000
Morocco,TELEPERFORMANCE GROUP INC.,IT Software,PO-003,Consulting,120000,OPEX,18000,0.15,102000
Morocco,TELEPERFORMANCE SUPPORT SERVICE GMB,IT Software,PO-004,Training,50000,OPEX,7500,0.15,42500
Morocco,TELEPERFORMANCE SE,IT Software,PO-005,Software Maintenance,90000,OPEX,13500,0.15,76500
Morocco,TELEPERFORMANCE SE,IT Software,PO-006,License Renewal,110000,OPEX,16500,0.15,93500
Morocco,TIGMAD CONSTRUCTION,Construction,PO-007,Building Works,500000,CAPEX,25000,0.05,475000
Morocco,TIGMAD CONSTRUCTION SARL,Construction,PO-008,Civil Engineering,300000,CAPEX,15000,0.05,285000
Morocco,TIGMAD CONSTRUCTION,Construction,PO-009,Road Construction,200000,OPEX,10000,0.05,190000
Morocco,TIGMAD CONSTRUCTION,Construction,PO-010,Foundation Works,150000,OPEX,7500,0.05,142500
France,SCHNEIDER ELECTRIC MAROC,Electrical,PO-011,Electrical Equipment,75000,OPEX,11250,0.15,63750
France,Schneider Electric,Electrical,PO-012,Power Systems,95000,OPEX,14250,0.15,80750
France,SCHNEIDER ELECTRIC MAROC,Electrical,PO-013,Switchgear,60000,OPEX,9000,0.15,51000
France,SCHNEIDER ELECTRIC MAROC,Electrical,PO-014,Transformers,80000,OPEX,12000,0.15,68000
Germany,SIEMENS AG,Industrial,PO-015,Machinery,200000,OPEX,20000,0.10,180000
Germany,SIEMENS AG,Industrial,PO-016,Automation,150000,OPEX,15000,0.10,135000
Germany,SIEMENS AG,Industrial,PO-017,Motors,100000,OPEX,10000,0.10,90000
Germany,SIEMENS AG,Industrial,PO-018,Drives,80000,OPEX,8000,0.10,72000
USA,MICROSOFT CORP,IT Software,PO-019,Office 365,50000,OPEX,5000,0.10,45000
USA,MICROSOFT CORP,IT Software,PO-020,Azure Services,120000,OPEX,12000,0.10,108000
USA,MICROSOFT CORP,IT Software,PO-021,Dynamics CRM,80000,OPEX,8000,0.10,72000
USA,MICROSOFT CORP,IT Software,PO-022,SharePoint,40000,OPEX,4000,0.10,36000
UK,ACCENTURE PLC,Consulting,PO-023,Strategy Consulting,300000,OPEX,45000,0.15,255000
UK,ACCENTURE PLC,Consulting,PO-024,IT Consulting,250000,OPEX,37500,0.15,212500
UK,ACCENTURE PLC,Consulting,PO-025,Process Consulting,200000,OPEX,30000,0.15,170000
Morocco,TOTAL MAROC,Fuel,PO-026,Diesel Fuel,100000,OPEX,5000,0.05,95000
Morocco,TOTAL MAROC,Fuel,PO-027,Petrol,80000,OPEX,4000,0.05,76000
Morocco,TOTAL MAROC,Fuel,PO-028,Lubricants,30000,OPEX,1500,0.05,28500
Morocco,TOTAL MAROC,Fuel,PO-029,Fuel Cards,20000,OPEX,1000,0.05,19000
France,ORANGE SA,Telecom,PO-030,Mobile Services,60000,OPEX,6000,0.10,54000
France,ORANGE SA,Telecom,PO-031,Fixed Line,40000,OPEX,4000,0.10,36000
France,ORANGE SA,Telecom,PO-032,Internet Services,50000,OPEX,5000,0.10,45000
Morocco,MAROC TELECOM,Telecom,PO-033,Mobile Plans,70000,OPEX,7000,0.10,63000
Morocco,MAROC TELECOM,Telecom,PO-034,Data Services,45000,OPEX,4500,0.10,40500
Morocco,MAROC TELECOM,Telecom,PO-035,SMS Gateway,15000,OPEX,1500,0.10,13500
USA,AMAZON WEB SERVICES,Cloud,PO-036,EC2 Instances,200000,OPEX,40000,0.20,160000
USA,AMAZON WEB SERVICES,Cloud,PO-037,S3 Storage,50000,OPEX,10000,0.20,40000
USA,AMAZON WEB SERVICES,Cloud,PO-038,RDS Database,80000,OPEX,16000,0.20,64000
Morocco,BUREAU VERITAS MAROC,,PO-039,Inspection Services,30000,OPEX,3000,0.10,27000
Morocco,BUREAU VERITAS MAROC,,PO-040,Certification,20000,OPEX,2000,0.10,18000
Morocco,BUREAU VERITAS MAROC,,PO-041,Testing Services,15000,OPEX,1500,0.10,13500
Germany,DHL SUPPLY CHAIN,Logistics,PO-042,Freight Services,90000,OPEX,9000,0.10,81000
Germany,DHL SUPPLY CHAIN,Logistics,PO-043,Warehousing,60000,OPEX,6000,0.10,54000
Germany,DHL SUPPLY CHAIN,Logistics,PO-044,Last Mile Delivery,40000,OPEX,4000,0.10,36000
France,SODEXO MAROC,Facilities,PO-045,Catering Services,50000,OPEX,2500,0.05,47500
France,SODEXO MAROC,Facilities,PO-046,Cleaning Services,30000,OPEX,1500,0.05,28500
France,SODEXO MAROC,Facilities,PO-047,Security Services,40000,OPEX,2000,0.05,38000
Morocco,ANOMALY VENDOR A,IT Software,PO-048,Emergency License,50000,OPEX,0,0.00,50000
Morocco,ANOMALY VENDOR B,IT Software,PO-049,Rush Order Software,30000,OPEX,-12000,-0.40,42000
Morocco,ANOMALY VENDOR C,Consulting,PO-050,Urgent Consulting,20000,OPEX,-9000,-0.45,29000
Morocco,ZERO SAVING VENDOR,Logistics,PO-051,Standard Shipping,10000,OPEX,0,0.00,10000
UK,IBM UK LTD,IT Software,PO-052,Mainframe Services,180000,OPEX,27000,0.15,153000
UK,IBM UK LTD,IT Software,PO-053,Cloud Migration,150000,OPEX,22500,0.15,127500
UK,IBM UK LTD,IT Software,PO-054,Security Services,120000,OPEX,18000,0.15,102000
Morocco,WAFA ASSURANCE,Insurance,PO-055,Property Insurance,40000,OPEX,4000,0.10,36000
Morocco,WAFA ASSURANCE,Insurance,PO-056,Fleet Insurance,25000,OPEX,2500,0.10,22500
Morocco,WAFA ASSURANCE,Insurance,PO-057,Health Insurance,60000,OPEX,6000,0.10,54000
Germany,BASF SE,Chemicals,PO-058,Raw Materials,120000,OPEX,6000,0.05,114000
Germany,BASF SE,Chemicals,PO-059,Solvents,80000,OPEX,4000,0.05,76000
Germany,BASF SE,Chemicals,PO-060,Additives,50000,OPEX,2500,0.05,47500
